"","individualID","Sex","sampleAge","sampleID2","collDate","collTime","NTXnM","uMidOC_ng_ml","SpecificGravity","creatinine","DOB","Collector","Substrate","CollectComments","assayDate.x","assayDate.y","Plate_U.MidOC","assay1value","assay1cv","assay2value","assay2cv","NTXnM_SG"
"282","Bartok","Male",44.94,"A33","12/10/17","16:00:00",256.5,1.021,1.011,NA,"1/1/73","Aaron","Ground,","","6/22/21","16-Dec-19",6,1.021,2.7,NA,NA,4.179545829212
"283","Bartok","Male",45.25,"A363","4/2/18","13:22:00",84.9,1.16,1.004,NA,"1/1/73","Izzi","Bag,","","6/23/21","16-Dec-19",6,1.16,0,NA,NA,1.39305048325218
"284","Basie","Male",35.09,"A177","2/3/18","13:36:00",631.8,3.7,1.021,4.044,"1/1/83","Izzi","DryLeaf,Ground,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,10.1940499510284
"285","Basie","Male",35.13,"A229","2/17/18","13:39:00",1761.3,2.548,1.022,5.964,"1/1/83","Izzi","DryLeaf,LiveLeaf,","","8/13/21","6/18/18",NA,NA,NA,NA,NA,28.390648782344
"286","Basie","Male",35.13,"A229","2/17/18","13:39:00",678.5,2.548,1.022,5.964,"1/1/83","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,10.9368393793337
"287","Basie","Male",35.14,"A244","2/20/18","15:33:00",322.9,1.406,1.014,3.42,"1/1/83","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,5.2459357574208
"288","Basie","Male",35.14,"A249","2/20/18","18:05:00",588,1.289,1.017,5.676,"1/1/83","Aaron","DryLeaf,Ground,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,9.52465494009251
"290","Basie","Male",35.3,"A448","4/21/18","12:50:00",356.2,1.389,1.005,2.655,"1/1/83","Izzi","DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,5.83876143971501
"291","Basie","Male",35.4,"A590","5/28/18","15:24:00",726,12,1.017,3.481,"1/1/83","Izzi","DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,11.7600331403183
"294","BillyBragg","Male",12.97,"A48","12/22/17","10:38:00",6438.3,27.668,1.029,NA,"1/1/05","Aaron/Izzi","DryLeaf,LiveLeaf,","Eating blue monkey corpse ","6/22/21","12-Dec-19",2,18.988,16.1,27.668,4,103.073900856639
"295","BillyBragg","Male",13.17,"A312","3/5/18","12:05:00",875.4,2.028,1.008,NA,"1/1/05","Izzi","DryLeaf,LiveLeaf,","","6/22/21","12-Dec-19",2,1.824,14.8,2.028,1.4,14.3066808127572
"296","BillyBragg","Male",13.26,"A372","4/5/18","14:14:00",1599.4,8.912,1.011,NA,"1/1/05","Izzi","DryLeaf,LiveLeaf,","","6/23/21","12-Dec-19",2,8.912,1.5,NA,NA,26.061464324529
"297","BillyBragg","Male",13.29,"A430","4/18/18","15:30:00",1545.4,11.269,1.025,NA,"1/1/05","Izzi","DryLeaf,","","6/22/21","12-Dec-19",2,11.269,7.8,NA,NA,24.8376166817224
"298","BillyBragg","Male",13.37,"A523","5/17/18","10:45:00",806.8,3.231,1.005,NA,"1/1/05","Izzi","DryLeaf,LiveLeaf,","","6/23/21","12-Dec-19",2,2.326,26.8,3.231,7,13.2249094035993
"299","BillyBragg","Male",13.41,"A593","5/30/18","10:20:00",1439.8,9.253,1.015,NA,"1/1/05","Izzi","DryLeaf,","","6/23/21","12-Dec-19",2,9.253,11,NA,NA,23.3684014474245
"300","BillyBragg","Male",13.41,"A602","5/31/18","9:44:00",1740.3,10.367,1.02,NA,"1/1/05","Izzi","DryLeaf,","","6/23/21","12-Dec-19",2,10.367,0.3,NA,NA,28.1071509622368
"301","BobiWine","Male",7.7,"A305","3/4/18","10:15:00",1318.1,15.391,1.012,NA,"6/20/10","Izzi","DryLeaf,LiveLeaf,","","6/22/21","11-Dec-19",1,15.391,4.4,NA,NA,21.4565911225785
"303","Booker","Male",15.54,"A11","10/30/17","18:45:00",1531.9,29.227,1.019,NA,"4/15/02","Aaron","Bag,","A11- Mucuso at camp ","6/22/21","12-Dec-19",2,29.227,13.6,NA,NA,24.7656145882553
"304","Booker","Male",15.59,"A17","11/17/17","9:40:00",1994.4,30.865,1.017,NA,"4/15/02","Aaron","LiveLeaf,","","6/22/21","12-Dec-19",2,30.865,1.1,NA,NA,32.3060745110893
"305","Booker","Male",15.68,"A43","12/18/17","11:10:00",1491.3,35.225,1.019,NA,"4/15/02","Izzi","Ground,DryLeaf,","Add big party although leaving it and now alone ","6/22/21","12-Dec-19",2,35.225,0.3,NA,NA,24.1092506269764
"306","Booker","Male",15.79,"A153","1/30/18","10:30:00",2029.9,19.031,1.029,NA,"4/15/02","Izzi","DryLeaf,","","6/22/21","12-Dec-19",2,19.031,6.8,NA,NA,32.4976641891325
"307","Booker","Male",15.85,"A247","2/20/18","17:07:00",552.5,1.415,1.006,NA,"4/15/02","Izzi","DryLeaf,","Right after hearing westerns call","6/22/21","12-Dec-19",2,1.415,6.1,NA,NA,9.04747057776797
"308","Booker","Male",15.99,"A405","4/13/18","15:20:00",1033.5,17.841,1.017,NA,"4/15/02","Izzi","LiveLeaf,","","6/23/21","12-Dec-19",2,17.841,3.6,NA,NA,16.7410389125606
"309","Booker","Male",16.08,"A511","5/13/18","13:23:00",1286.2,17.916,1.015,NA,"4/15/02","Izzi","DryLeaf,","","6/23/21","12-Dec-19",2,17.916,4.1,NA,NA,20.8754257130694
"310","Booker","Male",16.08,"A515","5/14/18","9:38:00",855.4,25.471,1.014,NA,"4/15/02","Izzi","LiveLeaf,","","6/23/21","12-Dec-19",2,25.471,2.2,NA,NA,13.8970995568218
"311","Booker","Male",16.09,"A533","5/18/18","10:33:00",749.2,15.346,1.014,NA,"4/15/02","Aaron","Ground,DryLeaf,","","6/23/21","12-Dec-19",2,15.346,8.9,NA,NA,12.1717406920398
"314","Bosko","Male",15.29,"A416","4/16/18","14:10:00",1288.8,3.507,1.029,NA,"1/1/03","Izzi","Bag,","","6/23/21","12-Dec-19",2,3.507,7.7,NA,NA,20.6330309901739
"316","Bosko","Male",15.31,"A460","4/25/18","9:22:16",162.1,1.325,1.004,NA,"1/1/03","Izzi","LiveLeaf,","Approaching tree alone - I could only see Mulligan already in tree","6/22/21","12-Dec-19",2,1.325,0.8,NA,NA,2.65975834317053
"317","Bosko","Male",15.31,"A463","4/25/18","13:00:00",207.3,1.999,1.006,NA,"1/1/03","Izzi","LiveLeaf,","","6/22/21","12-Dec-19",2,1.999,4.8,NA,NA,3.39464371180326
"318","Bosko","Male",15.35,"A500","5/8/18","15:00:00",541.7,0.821,1.008,NA,"1/1/03","Aaron","LiveLeaf,","","6/22/21","12-Dec-19",2,0.821,5.3,NA,NA,8.85301461762689
"319","Bosko","Male",15.39,"A565","5/23/18","11:44:00",488.8,15.321,1.014,NA,"1/1/03","Izzi","DryLeaf,","","6/23/21","12-Dec-19",2,15.321,0.4,NA,NA,7.94119974675531
"320","Bosko","Male",15.39,"A568","5/25/18","9:31:00",971.2,22.371,1.02,NA,"1/1/03","Izzi","DryLeaf,LiveLeaf,","","6/23/21","12-Dec-19",2,22.371,4.8,NA,NA,15.6856088114258
"321","Bosko","Male",15.4,"A577","5/27/18","10:51:00",793.8,14.978,1.018,NA,"1/1/03","Izzi","DryLeaf,","","6/23/21","12-Dec-19",2,14.978,6.9,NA,NA,12.8456532416503
"322","Brownface","Male",51.96,"A39","12/16/17","15:24:34",1664.3,3.653,1.025,3.534,"1/1/66","Izzi","Ground,DryLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,26.7485734718458
"323","Brownface","Male",52.02,"A68","1/9/18","9:55:00",1242.7,14.478,1.02,4.147,"1/1/66","Izzi","DryLeaf,LiveLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,20.0705375514403
"324","Brownface","Male",52.05,"A115","1/21/18","12:28:00",2530,11.402,1.04,6.04,"1/1/66","Izzi","DryLeaf,Ground,LiveLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,40.0756024453941
"325","Brownface","Male",52.05,"A118A","1/21/18","17:40:00",2117.9,4.377,1.032,6.275,"1/1/66","Izzi","DryLeaf,Ground,","SG: 1.033, 1.032, 1.032","6/14/18","6/14/18",NA,NA,NA,NA,NA,33.8079339231027
"326","Brownface","Male",52.06,"A125","1/22/18","17:38:00",2322.3,6.148,1.043,5.306,"1/1/66","Izzi","DryLeaf,Ground,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,36.6797943077306
"327","Brownface","Male",52.23,"A330","3/27/18","8:06:00",1463.2,15.759,1.015,4.25,"1/1/66","Charles","Ground,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,23.7481907194551
"329","Buckner","Male",18.06,"A127","1/23/18","12:50:00",750.8,15.376,1.005,NA,"1/1/00","Izzi","DryLeaf,","","6/22/21","11-Dec-19",1,15.376,5.4,NA,NA,12.3069682451938
"330","Buckner","Male",18.06,"A130","1/23/18","15:28:00",895.5,4.534,1.022,NA,"1/1/00","Izzi","DryLeaf,Ground,","","6/22/21","11-Dec-19",1,3.315,25.4,4.534,1.8,14.4346936834094
"332","Cannonball","Male",9.29,"567","11/12/16","10:35:00",1585.7,26.806,1.006,0.779,"7/30/07","Natasha","","","6/18/18","6/18/18",NA,NA,NA,NA,NA,25.966649946003
"333","Cannonball","Male",9.39,"O104","12/20/16","9:45:00",2731.7,13.207,1.006,0.858,"7/30/07","Jeremy","Leaf,","Was rachna's focal at the time ","6/18/18","6/18/18",NA,NA,NA,NA,NA,44.7329871082149
"336","Cannonball","Male",10.45,"A70","1/9/18","15:50:00",4870.8,32.144,1.036,5.212,"7/30/07","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,77.4521396396397
"337","Cannonball","Male",10.46,"A84","1/15/18","9:40:00",2370.1,20.544,1.015,4.171,"7/30/07","Izzi","DryLeaf,LiveLeaf,","Izzi IDed but Aaron never saw him","6/18/18","6/18/18",NA,NA,NA,NA,NA,38.4674595572584
"338","Cannonball","Male",10.54,"A215","2/11/18","10:10:00",2516.6,31.95,1.017,3.79,"7/30/07","Izzi","DryLeaf,Ground,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,40.7648752078857
"339","Cannonball","Male",10.56,"A241","2/20/18","13:38:00",1423.2,18.101,1.013,3.094,"7/30/07","Izzi","DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,23.1445833790355
"341","Cannonball","Male",10.68,"A367","4/3/18","11:30:00",5677.5,36.405,1.035,4.821,"7/30/07","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,90.3669596528897
"343","Cannonball","Male",10.69,"A377","4/6/18","12:50:00",2719.8,23.442,1.014,3.209,"7/30/07","Izzi","DryLeaf,LiveLeaf,","Party scattered into a few subgroups, may have been with others before I arrived ","6/18/18","6/18/18",NA,NA,NA,NA,NA,44.1867329607715
"344","Cannonball","Male",10.7,"A408","4/13/18","16:10:00",2718.4,31.089,1.021,3.458,"7/30/07","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,43.8611987763147
"345","Cannonball","Male",10.71,"A414","4/15/18","16:08:00",1338.5,14.006,1.009,0.823,"7/30/07","Izzi","DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,21.853453945356
"346","Cannonball","Male",10.74,"A468","4/26/18","10:24:00",865.8,7.197,1.004,0.14,"7/30/07","Izzi","LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,14.2061614652501
"347","Cannonball","Male",10.75,"A475","4/29/18","8:05:00",2473.4,38.145,1.01,3.216,"7/30/07","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,40.342783583914
"348","Cannonball","Male",10.76,"A487","5/4/18","8:50:00",3166.6,36.4,1.02,4.565,"7/30/07","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,51.1429662914549
"349","Cannonball","Male",10.77,"A497","5/6/18","11:41:01",1255.4,15.212,1.011,2.925,"7/30/07","Izzi","DryLeaf,","May have been stepped on","6/18/18","6/18/18",NA,NA,NA,NA,NA,20.4561475009464
"350","Carter","Male",28.05,"A114","1/20/18","9:50:00",1618.4,15.393,1.022,5.21,"1/1/90","Izzi","DryLeaf,Ground,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,26.0872230678167
"351","Carter","Male",28.1,"A189","2/5/18","11:58:00",1627.2,13.187,1.024,6.982,"1/1/90","Godfrey","","","6/18/18","6/18/18",NA,NA,NA,NA,NA,26.1778428819445
"352","Carter","Male",28.13,"A226","2/17/18","9:58:00",1265.6,15.264,1.023,4.677,"1/1/90","Izzi","DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,20.3804472442465
"353","Carter","Male",28.13,"A233","2/18/18","12:15:00",1403.4,12.916,1.024,6.825,"1/1/90","Izzi","DryLeaf,Ground,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,22.5774242259838
"354","Carter","Male",28.14,"A253","2/21/18","13:55:00",1065.2,5.345,1.017,4.846,"1/1/90","Izzi","DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,17.2545279629023
"355","Carter","Male",28.24,"A345","3/28/18","17:00:00",1055.9,6.461,1.013,4.06,"1/1/90","Izzi","LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,17.171420453853
"356","Carter","Male",28.24,"A351","3/29/18","17:50:00",898.7,5.793,1.019,3.693,"1/1/90","Aaron","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,14.5289234483093
"357","Carter","Male",28.28,"A412","4/15/18","11:59:00",1443,22.675,1.013,5.074,"1/1/90","Izzi","LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,23.4665780044605
"359","Carter","Male",28.37,"A520","5/15/18","14:22:00",1203.6,17.108,1.014,4.429,"1/1/90","Izzi","LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,19.5540671341953
"360","Cash","Male",25.12,"A225","2/15/18","10:20:00",1154.9,17.243,1.015,NA,"1/1/93","Izzi","DryLeaf,","","6/22/21","11-Dec-19",1,17.243,4.3,NA,NA,18.7443859088974
"361","Cedar","Male",5.11,"A505","5/12/18","12:45:00",944.3,7.908,1.007,NA,"4/1/13","Izzi","LiveLeaf,DryLeaf,","","6/22/21","17-Dec-19",8,7.908,1.7,NA,NA,15.4480404146285
"364","Chopin","Male",16.99,"A60","12/28/17","12:59:00",740,6.419,1.007,NA,"1/1/01","Izzi","DryLeaf,Ground,","","6/22/21","12-Dec-19",3,6.419,2.8,NA,NA,12.1058455012444
"365","Chopin","Male",16.99,"A61","12/29/17","14:37:00",1674.2,18.546,1.025,NA,"1/1/01","Izzi","DryLeaf,LiveLeaf,","Alone","6/22/21","12-Dec-19",3,18.546,5.7,NA,NA,26.9076859379705
"366","Chopin","Male",17.02,"A66","1/9/18","9:52:13",1702.5,14.127,1.018,NA,"1/1/01","Aaron","DryLeaf,LiveLeaf,","","6/22/21","12-Dec-19",3,14.127,2.2,NA,NA,27.5506735247035
"367","Chopin","Male",17.12,"A224","2/15/18","8:15:00",1860.5,12.417,1.017,NA,"1/1/01","Izzi","DryLeaf,LiveLeaf,","","6/22/21","12-Dec-19",3,12.417,4,NA,NA,30.1371097211601
"368","Chopin","Male",17.14,"A240","2/20/18","8:38:00",1261.4,13.268,1.016,NA,"1/1/01","Izzi","LiveLeaf,","","6/22/21","12-Dec-19",3,13.268,0.9,NA,NA,20.4527635000486
"369","Chopin","Male",17.21,"A319","3/18/18","13:40:00",384.8,1.07,1.004,NA,"1/1/01","Izzi","LiveLeaf,","","6/22/21","12-Dec-19",3,1.07,5.7,NA,NA,6.31384954011116
"370","Chopin","Male",17.26,"A380","4/7/18","12:00:00",416.1,3.261,1.006,NA,"1/1/01","Aaron","DryLeaf,LiveLeaf,","rain","6/23/21","12-Dec-19",3,3.261,3.6,NA,NA,6.81385069214344
"371","Chopin","Male",17.34,"A494","5/6/18","10:40:00",423.3,1.281,1.007,NA,"1/1/01","Izzi","LiveLeaf,DryLeaf,","","6/22/21","12-Dec-19",3,1.281,2.1,NA,NA,6.92487081172534
"372","Chopin","Male",17.38,"A557","5/21/18","13:57:00",328,4.533,1.006,0,"1/1/01","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,5.37116805340795
"373","Clayton","Male",7.95,"A90","1/15/18","14:00:00",1913.3,15.121,1.025,NA,"2/1/10","Aaron","DryLeaf,LiveLeaf,","","6/22/21","17-Dec-19",8,15.121,1.3,NA,NA,30.7504930743752
"378","Damien","Male",11.48,"A51","12/23/17","17:26:00",2434,23.506,1.022,NA,"7/1/06","Aaron/Izzi","DryLeaf,LiveLeaf,","","6/22/21","12-Dec-19",3,23.506,7.1,NA,NA,39.2339971249789
"379","Damien","Male",11.55,"A105","1/17/18","13:30:00",2595.9,28.98,1.026,NA,"7/1/06","Charles","","","6/22/21","12-Dec-19",3,28.98,1.8,NA,NA,41.6805532994008
"380","Damien","Male",11.55,"A109","1/18/18","12:48:00",1115.7,24.983,1.016,NA,"7/1/06","Aaron","LiveLeaf,","Vial2 collected from DryLeaf","6/22/21","12-Dec-19",3,24.983,4.7,NA,NA,18.0903347368037
"381","Damien","Male",11.57,"A141","1/26/18","15:08:00",864.7,7.711,1.008,NA,"7/1/06","Izzi","DryLeaf,LiveLeaf,","","6/22/21","12-Dec-19",3,7.711,1.3,NA,NA,14.1318104852538
"382","Damien","Male",11.6,"A185","2/4/18","10:37:00",3941.7,39.852,1.024,NA,"7/1/06","Izzi","DryLeaf,LiveLeaf,","","6/22/21","12-Dec-19",3,39.852,5.5,NA,NA,63.4127355504919
"384","Damien","Male",11.88,"A527","5/18/18","10:08:00",3109.9,31.606,1.025,NA,"7/1/06","Izzi","LiveLeaf,DryLeaf,","","6/23/21","12-Dec-19",3,31.606,6.2,NA,NA,49.9822079193014
"385","Dexter","Male",32.82,"A4","10/28/17","15:55:00",373.2,9.785,1.025,3.24,"1/1/85","Aaron","LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,5.99805781391148
"386","Dexter","Male",32.99,"A62","12/30/17","10:50:00",657.6,6.146,1.029,3.804,"1/1/85","Izzi","DryLeaf,LiveLeaf,","","8/13/21","6/19/18",NA,NA,NA,NA,NA,10.527840765936
"387","Dexter","Male",32.99,"A62","12/30/17","10:50:00",385.6,6.146,1.029,3.804,"1/1/85","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,6.17325942722769
"389","Dexter","Male",33.16,"A285","2/28/18","13:46:08",226.4,1.036,1.005,NA,"1/1/85","Izzi","DryLeaf,Ground,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,3.71110496898225
"390","Dexter","Male",33.25,"A366","4/3/18","9:55:00",1359.2,23.744,1.026,6.827,"1/1/85","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,21.8237251221332
"391","Dexter","Male",33.31,"A467","4/26/18","9:56:00",690,14.939,1.009,3.383,"1/1/85","Aaron","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,11.2655085710091
"392","Dexter","Male",33.36,"A507","5/12/18","15:44:18",1056,5.1,1.022,6.47,"1/1/85","Izzi","DryLeaf,Ground,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,17.0218163368848
"393","Dexter","Male",33.4,"A580","5/27/18","11:54:00",136.5,1.235,1.005,2.51,"1/1/85","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,2.23748157361342
"398","Django","Male",21.15,"A260","2/24/18","14:24:00",116.8,1.687,1.006,NA,"1/1/97","Izzi","DryLeaf,Ground,","","6/22/21","12-Dec-19",3,1.687,11.4,NA,NA,1.91265984340869
"399","Django","Male",21.15,"A267","2/25/18","12:40:00",950.7,3.822,1.021,NA,"1/1/97","Izzi","DryLeaf,LiveLeaf,","","6/22/21","12-Dec-19",3,3.822,2.1,NA,NA,15.3394797221315
"400","Django","Male",21.17,"A307","3/4/18","16:02:00",507.9,1.239,1.021,NA,"1/1/97","Izzi","Log","","6/22/21","12-Dec-19",3,1.239,2.8,NA,NA,8.19493189320565
"401","Django","Male",21.25,"A360","4/1/18","11:20:00",281.3,1.474,1.01,NA,"1/1/97","Izzi","DryLeaf,LiveLeaf,","","6/23/21","12-Dec-19",3,1.474,8.2,NA,NA,4.58818833272216
"402","Django","Male",21.38,"A544","5/19/18","15:48:00",729.9,6.279,1.022,NA,"1/1/97","Izzi","DryLeaf,","","6/23/21","12-Dec-19",3,6.279,0.3,NA,NA,11.7653633942161
"403","Django","Male",21.42,"A620","6/2/18","14:10:00",222.8,1.147,1.009,NA,"1/1/97","Izzi","Ground,DryLeaf,","","6/23/21","12-Dec-19",3,1.465,15.9,1.147,1.3,3.63761639075481
"410","Dylan","Male",11.54,"A199","2/7/18","9:31:00",3455.7,24.392,1.018,NA,"7/26/06","Izzi","DryLeaf,Ground,LiveLeaf,","","6/22/21","13-Dec-19",4,24.392,14.3,NA,NA,55.9217988248563
"412","Dylan","Male",11.72,"A417","4/16/18","14:40:00",953.3,5.028,1.005,NA,"7/26/06","Izzi","LiveLeaf,","","6/23/21","13-Dec-19",4,5.028,0.4,NA,NA,15.6263090412137
"413","Dylan","Male",11.74,"A452","4/22/18","13:10:00",840.4,7.099,1.012,NA,"7/26/06","Izzi","LiveLeaf,","","6/22/21","13-Dec-19",4,7.099,2.2,NA,NA,13.6803878153516
"414","Dylan","Male",11.82,"A560","5/21/18","14:15:00",575.1,7.289,1.009,NA,"7/26/06","Kevin","DryLeaf,LiveLeaf,","","6/23/21","13-Dec-19",4,7.289,1.2,NA,NA,9.38955649157582
"415","Dylan","Male",11.84,"A578","5/27/18","11:00:00",2024.7,24.444,1.017,NA,"7/26/06","Izzi","DryLeaf,LiveLeaf,","","6/23/21","13-Dec-19",4,24.444,8.7,NA,NA,32.7968858115736
"416","Dylan","Male",11.85,"A625","6/3/18","9:18:00",1729.6,NA,1.017,NA,"7/26/06","Izzi","DryLeaf,LiveLeaf,","","6/23/21","13-Dec-19",4,NA,NA,NA,NA,28.0167401094966
"419","Elton","Male",12.99,"A58","12/28/17","9:10:00",676.8,0.786,1.006,NA,"1/1/05","Izzi","LiveLeaf,DryLeaf,","","6/22/21","13-Dec-19",4,0.786,5.1,NA,NA,11.0829467638613
"420","Elton","Male",13.02,"A64","1/8/18","13:17:00",1150.2,4.521,1.011,NA,"1/1/05","Izzi","DryLeaf,","","6/22/21","13-Dec-19",4,4.521,3.2,NA,NA,18.7419634025717
"421","Elton","Male",13.17,"A299","3/3/18","13:05:43",694.1,3.177,1.01,NA,"1/1/05","Izzi","Bag,LiveLeaf,","","6/22/21","13-Dec-19",4,3.177,3.6,NA,NA,11.3212283033859
"422","Elton","Male",13.17,"A301","3/3/18","13:25:00",620,1.377,1.005,NA,"1/1/05","Izzi","Bag,","","6/22/21","13-Dec-19",4,1.377,0.1,NA,NA,10.1629199680609
"423","Elton","Male",13.26,"A391","4/8/18","16:00:00",883.5,4.291,1.008,NA,"1/1/05","Izzi","Bag,","","6/23/21","13-Dec-19",4,4.291,0.2,NA,NA,14.4390592849794
"425","Elton","Male",13.38,"A554","5/21/18","12:00:00",576.8,5.167,1.008,NA,"1/1/05","Izzi","LiveLeaf,","","6/23/21","13-Dec-19",4,5.167,5,NA,NA,9.42665466392319
"426","Elton","Male",13.4,"A579","5/27/18","11:52:00",1601.3,21.53,1.019,NA,"1/1/05","Izzi","Ground,","","6/23/21","13-Dec-19",4,21.53,0.1,NA,NA,25.8875766304414
"429","Erroll","Male",16.04,"A91","1/15/18","15:05:00",3115.1,24.442,1.042,NA,"1/1/02","Izzi","DryLeaf,Ground,","Aaron recorded 15:07","6/22/21","17-Dec-19",8,24.442,1.4,NA,NA,49.2489699592427
"430","Erroll","Male",16.06,"A120","1/22/18","11:10:00",1083,6.047,1.016,NA,"1/1/02","Izzi","DryLeaf,","","6/22/21","17-Dec-19",8,6.047,3.6,NA,NA,17.5601259477982
"431","Erroll","Male",16.06,"A122","1/22/18","11:56:00",649.5,2.675,1.01,NA,"1/1/02","Izzi","DryLeaf,LiveLeaf,","","6/22/21","17-Dec-19",8,2.675,0.5,NA,NA,10.5937729189586
"432","Eubanks","Male",7.56,"A332","3/27/18","10:05:00",2366.5,19.542,1.014,NA,"9/2/10","Charles","DryLeaf,","","6/23/21","17-Dec-19",8,19.542,2.7,NA,NA,38.4469091667276
"433","Eubanks","Male",7.71,"A537","5/19/18","11:04:00",5508.7,74.007,1.027,NA,"9/2/10","Izzi","DryLeaf,LiveLeaf,","","6/23/21","17-Dec-19",8,74.007,0.2,NA,NA,88.3632245723491
"435","Evans","Male",21.9,"A23","11/25/17","9:58:00",367.3,2.178,1.008,NA,"1/1/96","Aaron","DryLeaf,LiveLeaf,","Earlier at mucuso ","6/22/21","16-Dec-19",7,2.178,0.1,NA,NA,6.00279170953361
"436","Evans","Male",21.96,"A38","12/16/17","10:10:00",976,10.656,1.011,NA,"1/1/96","Aaron","Ground,","","6/22/21","16-Dec-19",7,10.656,2.1,NA,NA,15.9034570343506
"437","Evans","Male",22.02,"A63","1/7/18","15:55:00",1082,4.206,1.031,NA,"1/1/96","Izzi","DryLeaf,Ground,","","6/22/21","16-Dec-19",7,4.206,0.1,NA,NA,17.2886655650154
"438","Evans","Male",22.06,"A131","1/23/18","9:38:00",1338.9,18.001,1.018,NA,"1/1/96","Aaron","Ground,","Alone ; need to label ","6/22/21","16-Dec-19",7,18.001,0.2,NA,NA,21.6667235137889
"440","Evans","Male",22.16,"A282","2/28/18","10:19:00",1339.1,14.104,1.009,NA,"1/1/96","Izzi","LiveLeaf,","~2 hours after infanticide","6/22/21","16-Dec-19",7,14.104,1.3,NA,NA,21.8632500397656
"441","Evans","Male",22.23,"A331","3/27/18","8:35:00",126.4,1.135,1.004,NA,"1/1/96","Izzi","DryLeaf,","Alone","6/23/21","16-Dec-19",7,1.135,4.7,NA,NA,2.07398799862279
"442","Evans","Male",22.24,"A352","3/30/18","15:30:00",172.3,0.952,1.007,NA,"1/1/96","Izzi","DryLeaf,LiveLeaf,","","6/23/21","16-Dec-19",7,0.952,1.1,NA,NA,2.81869889170866
"443","Evans","Male",22.4,"A572","5/25/18","13:11:00",497.2,9.08,1.022,NA,"1/1/96","Izzi","DryLeaf,","","6/23/21","16-Dec-19",7,9.08,1,NA,NA,8.01443852528328
"444","Evans","Male",22.42,"A630","6/3/18","12:04:00",495.6,5.252,1.017,NA,"1/1/96","Izzi","DryLeaf,","","6/23/21","16-Dec-19",7,5.252,2.9,NA,NA,8.02792344950654
"448","Fleck","Male",11.62,"A89","1/15/18","13:55:00",5373.8,22.699,1.037,NA,"6/1/06","Izzi","DryLeaf,LiveLeaf,","","6/22/21","16-Dec-19",7,22.699,2.5,NA,NA,85.3681009440814
"449","Fleck","Male",11.9,"A466","4/25/18","14:22:00",616.4,4.602,1.005,NA,"6/1/06","Aaron","DryLeaf,LiveLeaf,","","6/22/21","16-Dec-19",7,4.602,5.2,NA,NA,10.1039094650206
"450","Fleck","Male",11.96,"A528","5/18/18","13:28:00",1555.6,32.489,1.015,NA,"6/1/06","Izzi","DryLeaf,","","6/23/21","16-Dec-19",7,32.489,0.1,NA,NA,25.2478714346531
